question,answer
"According to whether the guidance system interacts with the outside world during operation, it can be divided into (). A. autonomous guidance B. homing guidance C. non-autonomous guidance",AC
"In non-autonomous guidance, if guidance information is obtained from the space-moving body, it can be divided into which two types ().A. remote control guidance B. homing guidance C. map-matching guidance",AB
"According to the location of the energy source, seeker guidance systems can be divided into which categories (). A. semi-main type B. main type C. be type",ABC
The missile guidance system mainly includes(). A. propulsion system B. guidance subsystem C. control system D. damage system,BC
"According to whether the guidance system interacts with the outside world during operation, it can be divided into (). A. autonomous guidance B. homing guidance C. non-autonomous guidance",AC
Autonomous guidance can mainly be divided into which two categories? () A. remote control guidance B. program guidance C. inertial guidance,BC
"In non-autonomous guidance, if guidance information is obtained from the space-moving body, it can be divided into which two types? () A. remote control guidance B. homing guidance C. map-matching guidance",AB
"According to the location of the energy source, seeker guidance systems can be divided into which categories? () A. main type B. semi-main type C. be type",ABC
The following coordinate systems are moving coordinate systems (). A. ground coordinate system B. body coordinate system C. trajectory coordinate system D. velocity coordinate system,BCD
Factors affecting the thrust of a solid rocket motor include (). A. gas mass flow rate B. relativeto bodyofexhaust velocity C. cross-sectional area at the engine nozzle D. gas flow pressure at the engine nozzle,ABCD
"For missiles flying within the atmosphere using traditional aerodynamic control, the forces acting on the missile include (). A. engine thrust B. powerC gravityD powerstraight lateral force",ABC
"Given the aerodynamic layout and geometric parameters, factors affecting pitching moment include (). A. Mach number B. flighthigh degree C. angle of attack D. pitchcontrol surface angle",ABCD
"The following statements about static stability are correct(). A. center of masspositionin aerodynamic centerof front,missileisstatic stabilityof B. center of mass to andaerodynamic center when,missileisneutral static stabilityof C. center of mass to aerodynamic centerof rear,missileisstatic instabilityof D. static stability margincan touse aerodynamic centerandcenter of pressureofwithout quantity of value characterizes",ABC
"The following statements about hinge moment are correct () (2).A. hinge momentisaerodynamic forcerelativeto control surfacerotation axisofmoment B. hinge momentlarge small affectactuatorrequiredofpower C. hinge momentlarge small andcontrol surfaceoftypesandshape without related to D. hinge momentlarge small andMach number, angle, control surface anglerelated to",ABD
The three degrees of freedom of the instantaneous attitude of a rigid body are (). A. pitch angleB yawangleC roll angleD sideslip angle,ABC
"When establishing a missile motion model using Newton's second law and the angular momentum theorem, the commonly used research methods include().A. introducefrozen-body principle B. ignoreelastic deformation C. ignoreaeroelasticity D. long- and short-period separation method",ABC
The angular relationship equations can be established by using (). A. direction cosine method B. quaternion method C. spherical trigonometry method D. coordinate transformation method,ABCD
"For aerodynamically controlled missiles, the actuation mechanisms include (). A. elevator B. rudder C. aileron D. thrust-regulation device",ABCD
"The following statements about longitudinal motion and lateral motion are correct ().A. longitudinal motionandlateral motionismutually influence each otherof B. longitudinal motioncan to existin C. in lateral motionin,thathavelongitudinal motionparameters as zero D. lateral motionofsolutionneed longitudinal motionparameters",ABD
The assumptions for missile center-of-mass motion include (). A. missileabout bodyaxisofrotationiswithout B. control systemidealoperation C. ignore to method towardforceofaffect D. frozen-body principle,ABC
The following statements about overload are correct ().A. overloadisfunctionsin missileupper ofcontrol forceandgravityofthan value B. overloadisvector C. overloadofdirectionandcontrol forceofsame direction D. overloadoflarge small relativeto gravityof,ABCD
"Given the aerodynamic layout and geometric parameters, factors affecting yawing moment include (). A. Mach number B. flighthigh degree C. sideslip angle D. yaw rudder angle",ABCD
The three degrees of freedom of the instantaneous attitude of a rigid body are(). A. pitch angle B. yawangle C. roll angle D. sideslip angle,ABC
Methods to improve the static stability of a missile include ().A. changewingoutside shapeB changewingareaC adjustcenter of masspositionD controlmethods,ABC
The following statements about the instantaneous equilibrium assumption are correct (). A. false assumemoment of inertiaetc. in zero B. ignoreactuation mechanism rear missileabout bodyaxis oftransient process C. false assumecontrol systemidealoperation D. ignorecontrol systemoperationoftransient processandactuation mechanism oftransient process,ABCD
The following statements about overload are correct ().A. overloadisfunctionsin missileupper ofcontrol forceandgravityofthan value B. overloadisscalar C. overloadofdirectionandcontrol forceofsame direction D. overloadoflarge small relativeto massof,AC
The following are characteristics of the pursuit guidance method () A. about rear attack B. curved trajectory C. shoulduse widely,AB
The following can be regarded as special forms of proportional navigation () A. pursuit method B. parallel approach method C. three-point method,AB
The terminal-point overload in proportional navigation is related to the following ()factorsrelevant. A. target maneuver B. missilevelocity C. targetvelocity D. target maneuver,ABCD
"When intercepting a target using proportional navigation, the proportional coefficient K should consider the following () (2)etc. factors.A. line-of-sight angular-rate convergence limit B. available overload C. guidance systemrequirements",ABC
"When using the three-point guidance method, considering terminal-point overload, the ballistic target is easily affected by the following () factorsofaffect.A. targetvelocitychange B. target maneuver C. missilevelocity",ABC
The trajectory characteristics of the three-point method are (). A. trajectorythan relativelycurved B. dynamic error to C. trajectorylower,ABC
The following are characteristics of the pursuit guidance method (). A. about rear attack B. curved trajectory C. shoulduse widely,AB
The following can be regarded as special forms of proportional navigation (). A. pursuit method B. three-point method C. parallel approach method,AC
